,word,gls,stem,affixes,nonfinite.affixes
18165,ke,do.cv,do,cv,cv
18166,gaː-on,carry-pst.3pl,carry,"pst, 3pl",
18167,ʥ-a,come-imp.sg,come,"imp, sg",
18168,ʥa-on,say-pst.3pl,say,"pst, 3pl",
18169,leɽa-a,show-imp.sg,show,"imp, sg",
18170,ʥa-on,say-pst.3pl,say,"pst, 3pl",
18171,di,go.cv,go,cv,cv
18172,leɽa-a-um,show-pst.1sg,show,"pst, 1sg",
18173,ɬ-iton,give-prf.3pl,give,"prf, 3pl",
18174,ker-u,do-pst.2sg,do,"pst, 2sg",
18175,ʥa-on,say-pst.3pl,say,"pst, 3pl",
18176,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18177,ke-ika,do-fut.1pl,do,"fut, 1pl",
18178,walia-i,hide-cv,hide,cv,cv
18179,ba-mek,can-prs.1pl,can,"prs, 1pl",
18180,ʥa-mek,say-prs.1pl,say,"prs, 1pl",
18181,baŋgar-imek,be_afraid-prs.1pl,be_afraid,"prs, 1pl",
18182,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18183,b-ibua,be-dist.pst.3m.sg,be,"dist, pst, 3m, sg",
18184,ʥa-ama,say-fut.1sg,say,"fut, 1sg",
18185,gaː-on,take-pst.3pl,take,"pst, 3pl",
18186,ga-on,take-pst.3pl,take,"pst, 3pl",
18187,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
18188,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18189,lag-imaːn,need-prs.3sg,need,"prs, 3sg",
18190,pe-san,lie-ptcp.pf,lie,"ptcp, pf",
18191,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18192,b-itana,be-prf.3m.sg,be,"prf, 3m, sg",
18193,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18194,ʥa-maːn,say-ptcp.ipf,say,"ptcp, ipf",
18195,bot,be.pst.3pl,be,"pst, 3pl",
18196,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18197,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18198,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18199,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18200,bom,be.pst.1sg,be,"pst, 1sg",
18201,ke-maːn,do-ptcp.ipf,do,"ptcp, ipf",
18202,bom,be.pst.1sg,be,"pst, 1sg",
18203,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18204,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18205,ker-um,do-pst.1sg,do,"pst, 1sg",
18206,hil-om,learn-pst.1sg,learn,"pst, 1sg",
18207,ke-maːn,do-ptcp.ipf,do,"ptcp, ipf",
18208,bom,be.pst.1sg,be,"pst, 1sg",
18209,ʥ-itanem,come-prf.1m.sg,come,"prf, 1m, sg",
18210,baːl-imek,look-prs.1pl,look,"prs, 1pl",
18211,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
18212,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18213,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18214,tʰinet,be.prs.3pl,be,"prs, 3pl",
18215,ga-ik,go-pst.1pl,go,"pst, 1pl",
18216,wo-imet,let.go-prs.3pl,let,"go, prs, 3pl",
18217,ʥa-met,say-prs.3pl,say,"prs, 3pl",
18218,aːjak,come.pst.1pl,come,"pst, 1pl",
18219,wo-imet,let.go-prs.3pl,let,"go, prs, 3pl",
18220,ʥa-met,say-prs.3pl,say,"prs, 3pl",
18221,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18222,ke-iba,do-fut.3sg,do,"fut, 3sg",
18223,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18224,ke-ijau,do-opt,do,opt,
18225,ker-a,do-imp.sg,do,"imp, sg",
18226,dis-aː,go.pst.2sg-q,go,"pst, 2sg, q",
18227,go-i,take-cv,take,cv,cv
18228,dis,go.pst.2sg,go,"pst, 2sg",
18229,parz-us-aː,understand-pst.3sg-q,understand,"pst, 3sg, q",
18230,ʥ-ik,come-pst.1pl,come,"pst, 1pl",
18231,tʰi,be.cv,be,cv,cv
18232,kʰaː-ji,spend(time)-cv,spend(time),cv,cv
18233,parz-us-aː,understand-pst.3sg-q,understand,"pst, 3sg, q",
18234,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18235,dik,go.pst.1pl,go,"pst, 1pl",
18236,ke-m,do-pst.1sg,do,"pst, 1sg",
18237,di,go.cv,go,cv,cv
18238,tʰi,be.cv,be,cv,cv
18239,ʥem,come.pst.1sg,come,"pst, 1sg",
18240,ke-jet,do-pst.3pl,do,"pst, 3pl",
18241,b-it,be-pst.3pl,be,"pst, 3pl",
18242,dik,go.pst.1pl,go,"pst, 1pl",
18243,diu,go.pst.2?,go,"pst, 2?",
18244,ke-ji,do-cv,do,cv,cv
18245,diːk,go.pst.1pl,go,"pst, 1pl",
18246,aŋgas-ik,reach-pst.1pl,reach,"pst, 1pl",
18247,aŋgas-ik,reach-pst.1pl,reach,"pst, 1pl",
18248,tʰana-aː,be.prs.3m.sg-q,be,"prs, 3m, sg, q",
18249,tʰanet,be.prs.3pl,be,"prs, 3pl",
18250,ke,do.cv,do,cv,cv
18251,daːm-iton,catch-prf.3pl,catch,"prf, 3pl",
18252,tʰinet,be.prs.3pl,be,"prs, 3pl",
18253,tʰinet,be.prs.3pl,be,"prs, 3pl",
18254,tʰi-ba,be-fut.3sg,be,"fut, 3sg",
18255,ʥa-ama,say-fut.1sg,say,"fut, 1sg",
18256,tʰanet,be.prs.3pl,be,"prs, 3pl",
18257,bot,be.pst.3pl,be,"pst, 3pl",
18258,bot,be.pst.3pl,be,"pst, 3pl",
18259,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18260,ɬi,give.cv,give,cv,cv
18261,ɬi,give.cv,give,cv,cv
18262,foɖa-idaːus,break-dist.pst.3sg,break,"dist, pst, 3sg",
18263,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
18264,ʥa-on,say-pst.3pl,say,"pst, 3pl",
18265,maːr-iton,kill-prf.3pl,kill,"prf, 3pl",
18266,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18267,tʰɪni,be.prs.3f.sg,be,"prs, 3f, sg",
18268,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
18269,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18270,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
18271,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18272,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18273,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18274,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18275,maːr-iton-aː,kill-prf.3pl-q,kill,"prf, 3pl, q",
18276,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18277,maːr-imen,kill-prs.3sg,kill,"prs, 3sg",
18278,ta-idaːon,see-dist.pst.3pl,see,"dist, pst, 3pl",
18279,d-ibot,go-dist.pst.3pl,go,"dist, pst, 3pl",
18280,aːjat,come.pst.3pl,come,"pst, 3pl",
18281,aːjat,come.pst.3pl,come,"pst, 3pl",
18282,aːjat,come.pst.3pl,come,"pst, 3pl",
18283,ʥa-maːn,say-prs.3sg,say,"prs, 3sg",
18284,bot-ãː,be.pst.3pl-dat,be,"pst, 3pl, dat",
18285,ʥa-maːn,say-prs.3sg,say,"prs, 3sg",
