,word,gls,stem,affixes,nonfinite.affixes
18513,dik,go.pst.1pl,go,"pst, 1pl",
18514,aŋgas-it,reach-pst.3pl,reach,"pst, 3pl",
18515,ʥa-mem,say-prs.1sg,say,"prs, 1sg",
18516,d-ik,go-vn,go,vn,vn
18517,gaː-ik,carry-pst.1pl,carry,"pst, 1pl",
18518,ʐu-ik,eat-vn,eat,vn,vn
18519,tʰi,be.cv,be,cv,cv
18520,tʰ-iː,be,be,,
18521,paʦ-isan,be.cooked-ptcp.pf,be,"cooked, ptcp, pf",
18522,paʦ-isan,be.cooked-ptcp.pf,be,"cooked, ptcp, pf",
18523,tʰi,be.cv,be,cv,cv
18524,niɕ-is,sit-pst.2sg,sit,"pst, 2sg",
18525,hawat,starving,starving,,
18526,b-is,be-pst.2sg,be,"pst, 2sg",
18527,ʐ-os,eat-pst.2sg,eat,"pst, 2sg",
18528,ke-jiu,do-opt,do,opt,
18529,fed-i,arrive-cv,arrive,cv,cv
18530,ʥa-i,say-cv,say,cv,cv
18531,zaːn-ik,think-pst.1pl,think,"pst, 1pl",
18532,ɖika-at,exile(?)-pst.3pl,exile(?),"pst, 3pl",
18533,feda-ːs,reach,reach,,
18534,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18535,tʰanem,be.prs.1m.sg,be,"prs, 1m, sg",
18536,di,go.cv,go,cv,cv
18537,tʰinem,be.prs.1m.sg,be,"prs, 1m, sg",
18538,di,go.cv,go,cv,cv
18539,tines-aː,be.prs.2sg-obl,be,"prs, 2sg, obl",
18540,di,go.cv,go,cv,cv
18541,tinem,be.prs.1m.sg,be,"prs, 1m, sg",
18542,ʥa-ama,say-fut.1sg,say,"fut, 1sg",
18543,bos,be.pst.2m.sg,be,"pst, 2m, sg",
18544,tʰanem,be.prs.1m.sg,be,"prs, 1m, sg",
