text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20221009-InamullahCuttingfruit;62;no;ikula;adj;ikula;alone;;kemem;ke-mem;do-prs.1sg;sa mo manzi madad kara zaːtak muʂai bi law ke-met kara bot ba ke-met na bot ba ʥu ikula ke-mem;prox.obl.sg I.obl with/at help who young.people add very do-prs.3pl some be.pst.3pl irr do-prs.3pl not be.pst.3pl irr alone do-prs.1sg;None;;;;;;;;;;;;;
20211003-RahimFarming;29;yes;liwaːl;adj;liwaːl;sharp;;kei;ke-i;do-cv;muj ʂaːli-a ʂaʨi ja du hāka muj gaː-i lawans-a ʂoban-a tareqa e liwaːl ke-i aːn-i aːma-a tʰo-idaːum;I.erg rice-obl for one two sickle I.erg carry-cv Drosh-obl beautiful-m way erg/ins sharp do-cv bring-cv house-obl put-dist.pst.1sg;I had properly prepared a couple of sickles from Drosh for harvesting paddy and kept them at home;8;;;;;;;;;;;;
20211003-SadatIntrwHealth;33;yes;baːbuaːn;n;baːbuaːn;Babu.dispensary;;ɬam kejt;ɬam ke-jt;do.work-pst.3pl;tine ʈem-a baːbuaːn ɬam ke-jt dara-an-a tʰit;that.obl time-obl Babu.dispensary do.work-pst.3pl up-gen-m be-pst.3pl;At that time Babu used to work which was from the upper place from Darosh or Chitral;9;;;;;;;;;;;;
20220123-MAShahAdbiSargarmi;107;yes;ʈaːip;n;ʈaːip;typing;Eng;kemaːn;ke-maːn;do-prs.3sg;mon-a voi puɬ fazl akbar asa mãː ʈaːip ke-maːn;my-m prox.sg son Fazal Akbar prox.obl.sg I.dat typing do-prs.3sg;my son Fazal Akbar types it;9;;;;;;;;;;;;
20220123-MAShahAdbiSargarmi;113;yes;ʈaːip;n;ʈaːip;typing;Eng;keravamem;ker-ava-mem;do-prs.1sg;jaː ãː dara d-imem kaɖa-i sara voi tine tʰ-imaːn tine d-i ʈaːip ker-ava-mem jaː voi maːla ʥ-imaːn ki taur-e voi mãː ʈaːip ke-maːn;or I up go-prs.1sg erg/ins with prox.sg there be-prs.3sg there go-cv typing do-prs.1sg or prox.sg down come-prs.3sg erg/ins prox.sg I.dat typing do-prs.3sg;either i go up and type or he comes and do the typing here;9;;;;;;;;;;;;
20230507-ConversationBetweenQilaatKhanAndWarisha;115;no;taraːna;n;taraːna;anthem;Per;kei;ke-i;do-cv;ate ʥi taraːna ke-i;here come.cv anthem do-cv;come here after speaking the anthem;;;;;;;;;;;;;
20230507-ConversationBetweenQilaatKhanAndWarisha;117;no;taraːna;n;taraːna;anthem;Per;ke;ke;do.cv;waxta tu taraːna ke ke-mes-aː;at.first you.sg anthem do.cv do-prs.2sg-q;what do you do before the anthem;;;;;;;;;;;;;
20230507-ConversationBetweenQilaatKhanAndWarisha;133;no;taraːna;n;taraːna;anthem;Per;kemaːniuaː;ke-maːniu-aː;do-prs.2pl-q;taraːna ke-maːniu-aː;anthem do-prs.2pl-q;did you read the anthem?;;;;;;;;;;;;;
20220123-MAShahAdbiSargarmi;113;yes;ʈaːip;n;ʈaːip;typing;Eng;kemaːn;ke-maːn;do-prs.3sg;jaː ãː dara d-imem kaɖa-i sara voi tine tʰ-imaːn tine d-i ʈaːip ker-ava-mem jaː voi maːla ʥ-imaːn ki taur-e voi mãː ʈaːip ke-maːn;or I up go-prs.1sg erg/ins with prox.sg there be-prs.3sg there go-cv typing do-prs.1sg or prox.sg down come-prs.3sg erg/ins prox.sg I.dat typing do-prs.3sg;either i go up and type or he comes and do the typing here;9;;;;;;;;;;;;
20220101-HajiLiteratureIntrw;137.1;yes;didaːr;n;didaːr;view;;kera;ker-a;do-imp.sg;mon-i ziaːrat-an-i didaːr ker-a;my-f grave-gen-f view do-imp.sg;Visit my grave,;10;;;;;;;;;;;;
20211031-GhulamIntrwPolitics;67;yes;laːma;nm;laːm-a;work;;ketus;ke-tus;do-prf.3sg;sahu tʰana se wari ʈʰaːn-a ɬam ke-tus na ke-tus xo aman-a laːm-a ke-tus;be.prs.3m.sg dist.sg rest area-obl do.work-prf.3sg not do-prf.3sg but our-m village-obl do-prf.3sg;We don't know about the rest but they have worked in our village;9;;;;;;;;;;;;
20220101-HajiLiteratureIntrw;143.1;yes;intizaːr;n;intizaːr;waiting;Ar;kera;ker-a;do-imp.sg;mon-i qiaːmat-a intizaːr ker-a;my-f resurrection-obl waiting do-imp.sg;Wait for my resurrection,;22;;;;;;;;;;;;
20230112-NoorHassanTellingLifeStory;167;yes;intizaːr;n;intizaːr;waiting;Ar;kera;ker-a;do-imp.sg;tiniãː d-i iarpoʈ-an-a ʈelifun ker-um-ãː ten ʥa-us jafuʈi intizaːr ker-a ʥ-imek;that.dat go-cv airport-gen-m telephone do-pst.1sg-dat dist.erg.sg say-pst.3sg indf-little waiting do-imp.sg come-prs.1pl;I called him from the airport, he said wait a little we are coming;10;;;;;;;;;;;;
20230112-NoorHassanTellingLifeStory;251;yes;intizr;n;intizr;waiting;Ar;keiu;ke-iu;do-opt;jafuʈi intizr ke-iu;indf-little waiting do-opt;wait a little;10;;;;;;;;;;;;
20151225-DinMuhammadFolkTale;84;;paidaː;adj;paidaː;appeared;Per;kei;ke-i;do-cv;ton-a ta sat blijaːja bot bana bi gait ama tãː ki ki-jan-a ɬuŋgɽa aːn-imek ama ta taːnu sasi gila-ãː ki ɬuŋgɽa paidaː ke-i ba-mek ʥa-won;your-m seven brother be.pst.3pl add go.pst.3pl we you.sg.dat to what-gen-m firewood bring-prs.1pl we self's sister pl-dat to firewood appeared do-cv can-prs.1pl say-pst.3pl;So the boys said that you had seven brothers, they got lost in the forest and here we cannot bring our sisters.;;;;;;;;;;;;;
20211003-RahimFarming;113;no;paidaː;adj;paidaː;appeared;Per;kes;ke-s;do-pst.2sg;hal paidaː ke-s ba ʐuɣaːʈa na tʰi;plough appeared do-pst.2sg irr not be.cv;among the parts of the plough, when you finds one part;;;;;;;;;;;;;
20211003-RahimFarming;114;no;paida;adj;paida;appeared;Per;kes;ke-s;do-pst.2sg;ʐuɣaːʈa paida ke-s ba hudin na tʰi;appeared do-pst.2sg irr plough.part not be.cv;the other one could be not available.;;;;;;;;;;;;;
20211003-RahimFarming;143;no;paidaː;adj;paidaː;appeared;Per;kes;ke-s;do-pst.2sg;ɣobal ke-mek ʥa-i gaː paidaː ke-s;oxen do-prs.1pl say-cv bull appeared do-pst.2sg;[Ghobal] oxen used to thresh the wheat through cattle;;;;;;;;;;;;;
20211003-RahimFarming;144;no;paidaː;adj;paidaː;appeared;Per;ke;ke;do.cv;le ʦur gadaː paidaː ke;three four donkey appeared do.cv;Also with two or three donkeys;;;;;;;;;;;;;
