text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20160110-GulMuhammadFolkTale;8;;rupaie;n;rupai-e;rupee-erg/ins;;ɬe;ɬe;give;ʥo eni soʨ ke-us ʥa-us ʨi ʥa ʥa-us ɬe saw-a taːnu polapola-ãː gaːima au pãiɕi rupai-e ɬe ãː asa pena ja ʂobaːn-i baːti hilima ʨi mon-i watan-a mãː ʥ-iba;prox.erg/ins do.think-pst.3sg say-pst.3sg that say say-pst.3sg three hundred-obl self's child-dat carry-fut.1sg and hundred rupee-erg/ins give I prox.obl.sg from indf beautiful-f word learn-fut.1sg that my-f homeland-obl I.dat come-fut.3sg;The man thought why not give a hundred rupees and listen to a piece of advice so that it will be useful in the homeland. The remaining three hundred rupees is enough for the children.;;;;;;;;;;;;;
20160110-GulMuhammadFolkTale;41;;ɣaːɽai;<Not Sure>;ɣaːɽai;hug(?);;ɬites;ɬ-ites;give;iʦin-a tasan-i nil-i tʰini te manzi mon-a fusd-isan bliaːja aːisaː ʥa-i basa tasa manzi ɣaːɽai ɬ-ites ɣaːɽai ɬi tasa manzi wagila ke-i;eye-obl dist.gen.sg-f blue-f be.prs.3f.sg dist.obl.sg with/at my-m lose-ptcp.pf brother welcome say-cv dist.obl.sg with/at hug(?) give hug(?) give.cv dist.obl.sg with/at thing do-cv;His eyes were blue, he hugged his brother as soon as he saw that my lost brother came back.;;;;;;;;;;;;;
20160110-GulMuhammadFolkTale;41;;ɣaːɽai;<Not Sure>;ɣaːɽai;hug(?);;ɬi;ɬi;give.cv;iʦin-a tasan-i nil-i tʰini te manzi mon-a fusd-isan bliaːja aːisaː ʥa-i basa tasa manzi ɣaːɽai ɬ-ites ɣaːɽai ɬi tasa manzi wagila ke-i;eye-obl dist.gen.sg-f blue-f be.prs.3f.sg dist.obl.sg with/at my-m lose-ptcp.pf brother welcome say-cv dist.obl.sg with/at hug(?) give hug(?) give.cv dist.obl.sg with/at thing do-cv;His eyes were blue, he hugged his brother as soon as he saw that my lost brother came back.;;;;;;;;;;;;;
20160110-GulMuhammadFolkTale;60.2;;rupai;n;rupai;rupee;;ɬitum;ɬ-itum;give-prf.1sg;muj wagila na ke-jitum muj asau baːti-naːm-a ʂaʦi panʦ paĩɕi rupai ɬ-itum āː law ɣarubi e muj asa daulata geʈ-itum alllah-e mo ɬ-itus;I.erg thing not do-prf.1sg I.erg prox.obl.pl word-pl-obl for five hundred rupee give-prf.1sg I very poor I.erg prox.obl.sg earn-prf.1sg God-erg/ins I.obl give-prf.3sg;A man has a little knowledge, he has got it for money, the rest of the wealth he has got is also from his wisdom.;;;;;;;;;;;;;
20211003-AliIntrwPolitics;141;no;hunar;<Not Sure>;hunar;skill;;ɬi;ɬi;give.cv;ama hunar ɬi ba-mek;we skill give.cv can-prs.1pl;we can give them skill work;;;;;;;;;;;;;
20211003-AliIntrwPolitics;159;no;hunar;<Not Sure>;hunar;skill;;ɬiba;ɬ-iba;give-fut.3sg;au dujam giri amaː̄ hunar ɬ-iba;and second then we.dat skill give-fut.3sg;And on the other hand, we will also get skills;;;;;;;;;;;;;
20211003-AliIntrwPolitics;161;no;rijaːlti;n;rijaːlti;royalty;;ɬimek;ɬ-imek;give-prs.1pl;ama qaum-aː̄ ki bi rijaːlti ɬ-imek;we tribe-dat to add royalty give-prs.1pl;The nation will also get royalty;;;;;;;;;;;;;
20211003-AliIntrwPolitics;163;no;wagila;nm;wagila;thing;;ɬimek;ɬ-imek;give-prs.1pl;tusuaː̄ ki bi wagila ɬ-imek;dist.dat.pl to add thing give-prs.1pl;will also get some return;;;;;;;;;;;;;
20211003-AliIntrwPolitics;167;no;ʈeks;n;ʈeks;tax;;ɬi;ɬi;give.cv;tisan-a baːd giri qaum-aː̄ ki ʈeks ɬi;dist.gen.sg-m after then tribe-dat to tax give.cv;After that by paying taxes to the nation;;;;;;;;;;;;;
20211010-FaqirFishingStory;22;no;daːwat;n;daːwat;invitation;;ɬitok;ɬ-itok;give-prf.1pl;sahi tʰana ʦu-u xo bal-a woj daːwat ɬ-itok me aːinda-a ʂaʦi giri ɕiki na ke-jiwa;Sir be.prs.3m.sg walk-imp.pl but look-imp.sg prox.sg invitation give-prf.1pl you.pl.obl future-obl for then so not do;He said don't do this for the future. We have given this invitation to you people;;;;;;;;;;;;;
20211003-AliIntrwPolitics;200;no;saːt;n;saːt;little;;ɬika;ɬ-ika;give-fut.1pl;xatum ke-iu ʨi ama afɣaːnistaːn-a manzi saːt ɬ-ika;do.get rid of-opt that we Afghanistan-obl with/at little give-fut.1pl;So that we could live with Afghanistan;;;;;;;;;;;;;
20211010-NoorWoodStory;100;no;inʈarvi;nf;inʈarvi;interview;;litu;li-tu;give-prf.2sg;law mehrabaːni law ʂobaːn-i inʈarvi li-tu bajaː law ɕukria;very thanks very beautiful-f interview give-prf.2sg brother very grace;Thank you very much for your kind statement;;;;;;;;;;;;;
20211003-RahimFarming;132;no;dawaːi;n;dawaːi;medicine;;ɬi;ɬi;give.cv;dawaːi ɬi;medicine give.cv;They also give medicine;;;;;;;;;;;;;
20220424-RahmatGhaniBabaKiSabziyat;82;no;inʈarwiu;nf;inʈarwiu;interview;;ɬitu;ɬ-itu;give-prf.2sg;law ʂobaːn-i inʈarwiu ɬ-itu mehrbaːni;very beautiful-f interview give-prf.2sg thanks;Thank you for the very good interview.;;;;;;;;;;;;;
20211003-SadatIntrwHealth;105;no;sahulat;nf;sahulat;facilities;;ɬitus;ɬ-itus;give-prf.3sg;asu qaum-aː̄ ki law intihaːʥ-i sahulat ɬ-itus;prox.obl.pl tribe-dat to very good(?)-f facilities give-prf.3sg;Provided a very good facility to this nation;;;;;;;;;;;;;
20211003-SadatIntrwHealth;141;no;ʈem;nf;ʈem;time;;ɬitu;ɬ-itu;give-prf.2sg;law mehrabaːni tuī amaː̄ ʈem ɬ-itu;very thanks you.sg.erg we.dat time give-prf.2sg;Thanks a lot for your time.;;;;;;;;;;;;;
20230111-BahramKhanMasjedMolve;19;no;tartib;n;tartib;arrangement;;ɬimem;ɬ-imem;give-prs.1sg;asu nikanika-an-a sabaq-an-a tartib ɬ-imem;prox.obl.pl children-gen-m lesson-gen-m arrangement give-prs.1sg;I give lessons to these children;;;;;;;;;;;;;
20211003-RahimFarming;65;yes;muʂʈi;nf;muʂʈi;bread;;ɬi;ɬi;give.cv;aːn-i tusu muʂʈi ɬi;bring-cv dist.obl.pl bread give.cv;Feed them food;5;;;;;;;;;;;;
20220410-HishamWithGrass;34;no;naːm;nm;naːm;name;;ɬa;ɬ-a;give-imp.sg;ime naːm ɬ-a gãːs-naːm-an-a;prox.pl name give-imp.sg grass-pl-gen-m;Well, these are the names of these grasses;;;;;;;;;;;;;
20220410-HishamWithGrass;62;no;pera;<Not Sure>;pera;on.guard;;ɬimes;ɬ-imes;give-prs.2sg;kata pera ɬ-imes des-i;how.many on.guard give-prs.2sg day;How many time do you go?;;;;;;;;;;;;;
20220424-RahmatGhaniBabaKiSabziyat;62;no;paːʂ;nf;paːʂ;dung;;ɬesa;ɬ-esa;give-fut.2sg;au tasa kʰaːnʦ-i paːʂ ɬ-esa uzel-i paːʂ ɬ-esa se taːnai baj b-imaːn;and dist.obl.sg black-f dung give-fut.2sg white-f dung give-fut.2sg dist.sg self good be-prs.3sg;Mixing it with white Urea, gives a bumper crop.;;;;;;;;;;;;;
20211003-SardarIntrwPoetry;78;no;taːsuraːt;n;taːsuraːt;feedback(?);;ɬimet;ɬ-imet;give-prs.3pl;laka ki qism-an-a taːsuraːt ɬ-imet laka;like what kind-gen-m feedback(?) give-prs.3pl like;What kind of feedback did you receive?;;;;;;;;;;;;;
20211003-SardarIntrwPoetry;129;no;xidmatana;nf;xidmat-an-a;service-gen-m;;ɬiton;ɬ-iton;give-prf.3pl;ki xidmat-an-a ɬ-iton amaː̄ ki laːm-an-a xalq-en;what service-gen-m give-prf.3pl we.dat to village-gen-m people-pl;The service has been handed over by the people of the village;;;;;;;;;;;;;
20211010-AfsarBusinessStory;15;no;maːsoia;nf;maːsoi-a;month-obl;;ɬimet;ɬ-imet;give-prs.3pl;kara bas zar maːsoi-a ɬ-imet kara ɕiki kaːl-a bi na ɬ-imet;some okay month-obl give-prs.3pl some so year-obl add not give-prs.3pl;Some people repay at the end of each month while some who even don not repay after years and years.;;;;;;;;;;;;;
